MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02006785,Bexley 029,E09000004,Bexley,230,26,11.30%,7.80%,16.00%,,202,49,24.30%,18.90%,30.60%,,,,,,,,,
E02000093,Brent 001,E09000005,Brent,359,35,9.70%,7.10%,13.30%,,304,63,20.70%,16.50%,25.60%,,,,,,,,,
E02000094,Brent 002,E09000005,Brent,333,41,12.30%,9.20%,16.30%,,280,66,23.60%,19.00%,28.90%,,,,,,,,,
E02000095,Brent 003,E09000005,Brent,333,28,8.40%,5.90%,11.90%,,280,65,23.20%,18.70%,28.50%,,,,,,,,,
E02000096,Brent 004,E09000005,Brent,184,8,4.30%,2.20%,8.30%,,178,33,18.50%,13.50%,24.90%,,,,,,,,,
E02000097,Brent 005,E09000005,Brent,295,27,9.20%,6.40%,13.00%,,296,68,23.00%,18.50%,28.10%,,,,,,,,,
E02000098,Brent 006,E09000005,Brent,252,24,9.50%,6.50%,13.80%,,260,65,25.00%,20.10%,30.60%,,,,,,,,,
E02000099,Brent 007,E09000005,Brent,327,45,13.80%,10.40%,17.90%,,296,70,23.60%,19.20%,28.80%,,,,,,,,,
E02000100,Brent 008,E09000005,Brent,221,23,10.40%,7.00%,15.10%,,223,48,21.50%,16.60%,27.40%,,,,,,,,,
E02000101,Brent 009,E09000005,Brent,382,43,11.30%,8.50%,14.80%,,286,75,26.20%,21.50%,31.60%,,,,,,,,,
E02000102,Brent 010,E09000005,Brent,352,51,14.50%,11.20%,18.50%,,351,76,21.70%,17.70%,26.30%,,,,,,,,,
E02000103,Brent 011,E09000005,Brent,331,45,13.60%,10.30%,17.70%,,333,73,21.90%,17.80%,26.70%,,,,,,,,,
E02000104,Brent 012,E09000005,Brent,198,23,11.60%,7.90%,16.80%,,174,42,24.10%,18.40%,31.00%,,,,,,,,,
E02000105,Brent 013,E09000005,Brent,307,35,11.40%,8.30%,15.40%,,237,56,23.60%,18.70%,29.40%,,,,,,,,,
E02000106,Brent 014,E09000005,Brent,409,59,14.40%,11.40%,18.20%,,345,105,30.40%,25.80%,35.50%,,,,,,,,,
E02000107,Brent 015,E09000005,Brent,317,39,12.30%,9.10%,16.40%,,222,44,19.80%,15.10%,25.60%,,,,,,,,,
E02000108,Brent 016,E09000005,Brent,233,25,10.70%,7.40%,15.40%,,215,52,24.20%,18.90%,30.30%,,,,,,,,,
E02000109,Brent 017,E09000005,Brent,350,44,12.60%,9.50%,16.50%,,284,78,27.50%,22.60%,32.90%,,,,,,,,,
E02000110,Brent 018,E09000005,Brent,198,29,14.60%,10.40%,20.20%,,180,42,23.30%,17.80%,30.00%,,,,,,,,,
E02000111,Brent 019,E09000005,Brent,386,30,7.80%,5.50%,10.90%,,304,67,22.00%,17.70%,27.00%,,,,,,,,,
E02000112,Brent 020,E09000005,Brent,323,45,13.90%,10.60%,18.10%,,271,70,25.80%,21.00%,31.40%,,,,,,,,,
E02000113,Brent 021,E09000005,Brent,454,85,18.70%,15.40%,22.60%,,416,114,27.40%,23.30%,31.90%,,,,,,,,,
E02000114,Brent 022,E09000005,Brent,268,34,12.70%,9.20%,17.20%,,209,58,27.80%,22.10%,34.20%,,,,,,,,,
E02000115,Brent 023,E09000005,Brent,190,25,13.20%,9.10%,18.70%,,131,38,29.00%,21.90%,37.30%,,,,,,,,,
E02000116,Brent 024,E09000005,Brent,316,49,15.50%,11.90%,19.90%,,275,66,24.00%,19.30%,29.40%,,,,,,,,,
E02000117,Brent 025,E09000005,Brent,552,91,16.50%,13.60%,19.80%,,474,134,28.30%,24.40%,32.50%,,,,,,,,,
E02000118,Brent 026,E09000005,Brent,345,31,9.00%,6.40%,12.50%,,320,62,19.40%,15.40%,24.10%,,,,,,,,,
E02000119,Brent 027,E09000005,Brent,365,54,14.80%,11.50%,18.80%,,324,82,25.30%,20.90%,30.30%,,,,,,,,,
E02000120,Brent 028,E09000005,Brent,255,19,7.50%,4.80%,11.30%,,146,30,20.50%,14.80%,27.80%,,,,,,,,,
E02000121,Brent 029,E09000005,Brent,340,28,8.20%,5.80%,11.60%,,315,58,18.40%,14.50%,23.10%,,,,,,,,,
E02000122,Brent 030,E09000005,Brent,200,17,8.50%,5.40%,13.20%,,191,39,20.40%,15.30%,26.70%,,,,,,,,,
E02000123,Brent 031,E09000005,Brent,647,84,13.00%,10.60%,15.80%,,512,159,31.10%,27.20%,35.20%,,,,,,,,,
E02000124,Brent 032,E09000005,Brent,215,18,8.40%,5.40%,12.80%,,202,36,17.80%,13.20%,23.70%,,,,,,,,,
E02000125,Brent 033,E09000005,Brent,334,41,12.30%,9.20%,16.20%,,247,45,18.20%,13.90%,23.50%,,,,,,,,,
E02000126,Brent 034,E09000005,Brent,281,45,16.00%,12.20%,20.80%,,300,85,28.30%,23.50%,33.70%,,,,,,,,,
E02000127,Bromley 001,E09000006,Bromley,368,45,12.20%,9.30%,16.00%,,318,74,23.30%,19.00%,28.20%,,,,,,,,,
