MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000579,Kensington and Chelsea 003,E09000020,Kensington and Chelsea,186,18,9.70%,6.20%,14.80%,,156,26,16.70%,11.60%,23.30%,,,,,,,,,
E02000580,Kensington and Chelsea 004,E09000020,Kensington and Chelsea,154,23,14.90%,10.20%,21.40%,,138,32,23.20%,16.90%,30.90%,,,,,,,,,
E02000581,Kensington and Chelsea 005,E09000020,Kensington and Chelsea,236,25,10.60%,7.30%,15.20%,,253,71,28.10%,22.90%,33.90%,,,,,,,,,
E02000582,Kensington and Chelsea 006,E09000020,Kensington and Chelsea,56,s,s,s,s,,48,s,s,s,s,,,,,,,,,
E02000583,Kensington and Chelsea 007,E09000020,Kensington and Chelsea,55,8,14.50%,7.60%,26.20%,,70,15,21.40%,13.40%,32.40%,,,,,,,,,
E02000584,Kensington and Chelsea 008,E09000020,Kensington and Chelsea,141,6,4.30%,2.00%,9.00%,,51,11,21.60%,12.50%,34.60%,,,,,,,,,
E02000585,Kensington and Chelsea 009,E09000020,Kensington and Chelsea,97,13,13.40%,8.00%,21.60%,,96,15,15.60%,9.70%,24.20%,,,,,,,,,
E02000586,Kensington and Chelsea 010,E09000020,Kensington and Chelsea,43,s,s,s,s,,35,s,s,s,s,,,,,,,,,
E02000587,Kensington and Chelsea 011,E09000020,Kensington and Chelsea,106,7,6.60%,3.20%,13.00%,,68,16,23.50%,15.00%,34.90%,,,,,,,,,
E02000588,Kensington and Chelsea 012,E09000020,Kensington and Chelsea,22,s,s,s,s,,25,s,s,s,s,,,,,,,,,
E02000589,Kensington and Chelsea 013,E09000020,Kensington and Chelsea,94,s,s,s,s,,61,10,16.40%,9.20%,27.60%,,,,,,,,,
E02000590,Kensington and Chelsea 014,E09000020,Kensington and Chelsea,94,6,6.40%,3.00%,13.20%,,74,14,18.90%,11.60%,29.30%,,,,,,,,,
E02000591,Kensington and Chelsea 015,E09000020,Kensington and Chelsea,78,s,s,s,s,,53,10,18.90%,10.60%,31.40%,,,,,,,,,
E02000592,Kensington and Chelsea 016,E09000020,Kensington and Chelsea,62,s,s,s,s,,34,s,s,s,s,,,,,,,,,
E02000593,Kensington and Chelsea 017,E09000020,Kensington and Chelsea,128,s,s,s,s,,62,14,22.60%,14.00%,34.40%,,,,,,,,,
E02000594,Kensington and Chelsea 018,E09000020,Kensington and Chelsea,51,s,s,s,s,,42,s,s,s,s,,,,,,,,,
E02000595,Kensington and Chelsea 019,E09000020,Kensington and Chelsea,37,s,s,s,s,,26,s,s,s,s,,,,,,,,,
E02000596,Kensington and Chelsea 020,E09000020,Kensington and Chelsea,55,s,s,s,s,,40,s,s,s,s,,,,,,,,,
E02000597,Kensington and Chelsea 021,E09000020,Kensington and Chelsea,129,13,10.10%,6.00%,16.50%,,139,30,21.60%,15.60%,29.10%,,,,,,,,,
E02000598,Kingston upon Thames 001,E09000021,Kingston upon Thames,341,12,3.50%,2.00%,6.00%,,290,34,11.70%,8.50%,15.90%,,,,,,,,,
E02000599,Kingston upon Thames 002,E09000021,Kingston upon Thames,109,s,s,s,s,,119,19,16.00%,10.50%,23.60%,,,,,,,,,
E02000600,Kingston upon Thames 003,E09000021,Kingston upon Thames,317,15,4.70%,2.90%,7.70%,,207,39,18.80%,14.10%,24.70%,,,,,,,,,
E02000601,Kingston upon Thames 004,E09000021,Kingston upon Thames,519,18,3.50%,2.20%,5.40%,,314,39,12.40%,9.20%,16.50%,,,,,,,,,
E02000602,Kingston upon Thames 005,E09000021,Kingston upon Thames,346,34,9.80%,7.10%,13.40%,,204,45,22.10%,16.90%,28.20%,,,,,,,,,
E02000603,Kingston upon Thames 006,E09000021,Kingston upon Thames,333,32,9.60%,6.90%,13.30%,,281,44,15.70%,11.90%,20.40%,,,,,,,,,
E02000604,Kingston upon Thames 007,E09000021,Kingston upon Thames,333,21,6.30%,4.20%,9.40%,,279,40,14.30%,10.70%,18.90%,,,,,,,,,
E02000605,Kingston upon Thames 008,E09000021,Kingston upon Thames,275,14,5.10%,3.10%,8.40%,,250,26,10.40%,7.20%,14.80%,,,,,,,,,
E02000606,Kingston upon Thames 009,E09000021,Kingston upon Thames,169,9,5.30%,2.80%,9.80%,,123,23,18.70%,12.80%,26.50%,,,,,,,,,
E02000607,Kingston upon Thames 010,E09000021,Kingston upon Thames,232,8,3.40%,1.80%,6.70%,,138,14,10.10%,6.10%,16.30%,,,,,,,,,
E02000608,Kingston upon Thames 011,E09000021,Kingston upon Thames,153,s,s,s,s,,58,s,s,s,s,,,,,,,,,
E02000609,Kingston upon Thames 012,E09000021,Kingston upon Thames,213,17,8.00%,5.00%,12.40%,,224,38,17.00%,12.60%,22.40%,,,,,,,,,
E02000610,Kingston upon Thames 013,E09000021,Kingston upon Thames,185,10,5.40%,3.00%,9.70%,,104,s,s,s,s,,,,,,,,,
E02000611,Kingston upon Thames 014,E09000021,Kingston upon Thames,261,17,6.50%,4.10%,10.20%,,237,29,12.20%,8.70%,17.00%,,,,,,,,,
E02000612,Kingston upon Thames 015,E09000021,Kingston upon Thames,229,11,4.80%,2.70%,8.40%,,236,35,14.80%,10.90%,19.90%,,,,,,,,,
E02000613,Kingston upon Thames 016,E09000021,Kingston upon Thames,367,14,3.80%,2.30%,6.30%,,228,25,11.00%,7.50%,15.70%,,,,,,,,,
E02000614,Kingston upon Thames 017,E09000021,Kingston upon Thames,353,24,6.80%,4.60%,9.90%,,308,66,21.40%,17.20%,26.30%,,,,,,,,,
E02000615,Kingston upon Thames 018,E09000021,Kingston upon Thames,220,16,7.30%,4.50%,11.50%,,205,45,22.00%,16.80%,28.10%,,,,,,,,,
E02000616,Kingston upon Thames 019,E09000021,Kingston upon Thames,245,23,9.40%,6.30%,13.70%,,176,43,24.40%,18.70%,31.30%,,,,,,,,,
E02000617,Kingston upon Thames 020,E09000021,Kingston upon Thames,339,29,8.60%,6.00%,12.00%,,287,71,24.70%,20.10%,30.00%,,,,,,,,,
E02000619,Lambeth 002,E09000022,Lambeth,234,26,11.10%,7.70%,15.80%,,194,45,23.20%,17.80%,29.60%,,,,,,,,,
E02000620,Lambeth 003,E09000022,Lambeth,252,30,11.90%,8.50%,16.50%,,220,55,25.00%,19.70%,31.10%,,,,,,,,,
E02000621,Lambeth 004,E09000022,Lambeth,210,17,8.10%,5.10%,12.60%,,215,53,24.70%,19.40%,30.80%,,,,,,,,,
E02000622,Lambeth 005,E09000022,Lambeth,180,21,11.70%,7.80%,17.20%,,171,47,27.50%,21.30%,34.60%,,,,,,,,,
E02000623,Lambeth 006,E09000022,Lambeth,274,40,14.60%,10.90%,19.30%,,272,71,26.10%,21.20%,31.60%,,,,,,,,,
E02000624,Lambeth 007,E09000022,Lambeth,234,41,17.50%,13.20%,22.90%,,206,60,29.10%,23.30%,35.70%,,,,,,,,,
E02000625,Lambeth 008,E09000022,Lambeth,308,40,13.00%,9.70%,17.20%,,289,74,25.60%,20.90%,30.90%,,,,,,,,,
E02000626,Lambeth 009,E09000022,Lambeth,309,40,12.90%,9.70%,17.10%,,290,73,25.20%,20.50%,30.50%,,,,,,,,,
E02000627,Lambeth 010,E09000022,Lambeth,267,33,12.40%,8.90%,16.80%,,199,56,28.10%,22.40%,34.80%,,,,,,,,,
E02000628,Lambeth 011,E09000022,Lambeth,376,50,13.30%,10.20%,17.10%,,317,85,26.80%,22.20%,31.90%,,,,,,,,,
E02000629,Lambeth 012,E09000022,Lambeth,173,15,8.70%,5.30%,13.80%,,132,31,23.50%,17.10%,31.40%,,,,,,,,,
E02000630,Lambeth 013,E09000022,Lambeth,135,19,14.10%,9.20%,20.90%,,105,25,23.80%,16.70%,32.80%,,,,,,,,,
E02000631,Lambeth 014,E09000022,Lambeth,256,26,10.20%,7.00%,14.50%,,217,34,15.70%,11.40%,21.10%,,,,,,,,,
E02000632,Lambeth 015,E09000022,Lambeth,125,21,16.80%,11.30%,24.30%,,106,35,33.00%,24.80%,42.40%,,,,,,,,,
E02000633,Lambeth 016,E09000022,Lambeth,272,27,9.90%,6.90%,14.10%,,266,70,26.30%,21.40%,31.90%,,,,,,,,,
E02000634,Lambeth 017,E09000022,Lambeth,151,22,14.60%,9.80%,21.10%,,146,39,26.70%,20.20%,34.40%,,,,,,,,,
E02000635,Lambeth 018,E09000022,Lambeth,259,27,10.40%,7.30%,14.70%,,204,49,24.00%,18.70%,30.30%,,,,,,,,,
E02000636,Lambeth 019,E09000022,Lambeth,102,8,7.80%,4.00%,14.70%,,82,19,23.20%,15.40%,33.40%,,,,,,,,,
E02000637,Lambeth 020,E09000022,Lambeth,213,23,10.80%,7.30%,15.70%,,140,32,22.90%,16.70%,30.50%,,,,,,,,,
E02000638,Lambeth 021,E09000022,Lambeth,272,35,12.90%,9.40%,17.40%,,245,53,21.60%,16.90%,27.20%,,,,,,,,,
E02000639,Lambeth 022,E09000022,Lambeth,309,54,17.50%,13.60%,22.10%,,291,81,27.80%,23.00%,33.20%,,,,,,,,,
E02000640,Lambeth 023,E09000022,Lambeth,286,17,5.90%,3.70%,9.30%,,176,42,23.90%,18.20%,30.70%,,,,,,,,,
E02000641,Lambeth 024,E09000022,Lambeth,354,52,14.70%,11.40%,18.80%,,353,93,26.30%,22.00%,31.20%,,,,,,,,,
E02000642,Lambeth 025,E09000022,Lambeth,327,30,9.20%,6.50%,12.80%,,224,39,17.40%,13.00%,22.90%,,,,,,,,,
E02000643,Lambeth 026,E09000022,Lambeth,242,34,14.00%,10.20%,19.00%,,199,39,19.60%,14.70%,25.70%,,,,,,,,,
E02000644,Lambeth 027,E09000022,Lambeth,287,31,10.80%,7.70%,14.90%,,227,42,18.50%,14.00%,24.10%,,,,,,,,,
E02000645,Lambeth 028,E09000022,Lambeth,265,26,9.80%,6.80%,14.00%,,175,43,24.60%,18.80%,31.50%,,,,,,,,,
E02000646,Lambeth 029,E09000022,Lambeth,206,13,6.30%,3.70%,10.50%,,141,28,19.90%,14.10%,27.20%,,,,,,,,,
E02000647,Lambeth 030,E09000022,Lambeth,252,24,9.50%,6.50%,13.80%,,200,44,22.00%,16.80%,28.20%,,,,,,,,,
E02000648,Lambeth 031,E09000022,Lambeth,348,37,10.60%,7.80%,14.30%,,316,80,25.30%,20.80%,30.40%,,,,,,,,,
E02000649,Lambeth 032,E09000022,Lambeth,338,28,8.30%,5.80%,11.70%,,220,51,23.20%,18.10%,29.20%,,,,,,,,,
E02000650,Lambeth 033,E09000022,Lambeth,239,29,12.10%,8.60%,16.90%,,203,52,25.60%,20.10%,32.00%,,,,,,,,,
E02000651,Lambeth 034,E09000022,Lambeth,264,26,9.80%,6.80%,14.00%,,193,37,19.20%,14.20%,25.30%,,,,,,,,,
E02000652,Lambeth 035,E09000022,Lambeth,269,25,9.30%,6.40%,13.40%,,260,66,25.40%,20.50%,31.00%,,,,,,,,,
E02006801,Lambeth 036,E09000022,Lambeth,161,23,14.30%,9.70%,20.50%,,109,23,21.10%,14.50%,29.70%,,,,,,,,,
E02000653,Lewisham 001,E09000023,Lewisham,329,43,13.10%,9.80%,17.10%,,284,80,28.20%,23.30%,33.70%,,,,,,,,,
E02000654,Lewisham 002,E09000023,Lewisham,381,52,13.60%,10.60%,17.50%,,286,74,25.90%,21.10%,31.20%,,,,,,,,,
E02000655,Lewisham 003,E09000023,Lewisham,265,36,13.60%,10.00%,18.20%,,228,63,27.60%,22.20%,33.80%,,,,,,,,,
E02000657,Lewisham 005,E09000023,Lewisham,263,20,7.60%,5.00%,11.50%,,206,56,27.20%,21.60%,33.60%,,,,,,,,,
E02000658,Lewisham 006,E09000023,Lewisham,236,30,12.70%,9.10%,17.60%,,203,49,24.10%,18.80%,30.50%,,,,,,,,,
E02000659,Lewisham 007,E09000023,Lewisham,220,25,11.40%,7.80%,16.20%,,166,35,21.10%,15.60%,27.90%,,,,,,,,,
E02000660,Lewisham 008,E09000023,Lewisham,208,27,13.00%,9.10%,18.20%,,156,37,23.70%,17.70%,31.00%,,,,,,,,,
E02000661,Lewisham 009,E09000023,Lewisham,166,12,7.20%,4.20%,12.20%,,100,25,25.00%,17.50%,34.30%,,,,,,,,,
E02000662,Lewisham 010,E09000023,Lewisham,320,33,10.30%,7.40%,14.10%,,220,50,22.70%,17.70%,28.70%,,,,,,,,,
E02000663,Lewisham 011,E09000023,Lewisham,202,12,5.90%,3.40%,10.10%,,157,45,28.70%,22.20%,36.20%,,,,,,,,,
E02000664,Lewisham 012,E09000023,Lewisham,357,43,12.00%,9.10%,15.80%,,233,58,24.90%,19.80%,30.80%,,,,,,,,,
E02000665,Lewisham 013,E09000023,Lewisham,301,30,10.00%,7.10%,13.90%,,172,38,22.10%,16.50%,28.90%,,,,,,,,,
E02000666,Lewisham 014,E09000023,Lewisham,251,21,8.40%,5.50%,12.50%,,182,42,23.10%,17.60%,29.70%,,,,,,,,,
E02000667,Lewisham 015,E09000023,Lewisham,250,17,6.80%,4.30%,10.60%,,159,31,19.50%,14.10%,26.30%,,,,,,,,,
E02000668,Lewisham 016,E09000023,Lewisham,222,15,6.80%,4.10%,10.80%,,179,28,15.60%,11.00%,21.70%,,,,,,,,,
E02000669,Lewisham 017,E09000023,Lewisham,253,30,11.90%,8.40%,16.40%,,155,40,25.80%,19.60%,33.20%,,,,,,,,,
E02000670,Lewisham 018,E09000023,Lewisham,303,42,13.90%,10.40%,18.20%,,175,34,19.40%,14.20%,25.90%,,,,,,,,,
E02000671,Lewisham 019,E09000023,Lewisham,351,24,6.80%,4.60%,10.00%,,193,38,19.70%,14.70%,25.90%,,,,,,,,,
E02000672,Lewisham 020,E09000023,Lewisham,332,45,13.60%,10.30%,17.70%,,214,44,20.60%,15.70%,26.50%,,,,,,,,,
E02000673,Lewisham 021,E09000023,Lewisham,301,28,9.30%,6.50%,13.10%,,212,33,15.60%,11.30%,21.10%,,,,,,,,,
E02000674,Lewisham 022,E09000023,Lewisham,352,34,9.70%,7.00%,13.20%,,316,79,25.00%,20.50%,30.10%,,,,,,,,,
E02000675,Lewisham 023,E09000023,Lewisham,285,23,8.10%,5.40%,11.80%,,229,55,24.00%,18.90%,29.90%,,,,,,,,,
E02000676,Lewisham 024,E09000023,Lewisham,303,25,8.30%,5.70%,11.90%,,214,49,22.90%,17.80%,29.00%,,,,,,,,,
E02000677,Lewisham 025,E09000023,Lewisham,193,23,11.90%,8.10%,17.20%,,118,23,19.50%,13.40%,27.60%,,,,,,,,,
E02000678,Lewisham 026,E09000023,Lewisham,278,27,9.70%,6.80%,13.80%,,243,63,25.90%,20.80%,31.80%,,,,,,,,,
E02000679,Lewisham 027,E09000023,Lewisham,308,34,11.00%,8.00%,15.00%,,224,56,25.00%,19.80%,31.10%,,,,,,,,,
E02000680,Lewisham 028,E09000023,Lewisham,308,27,8.80%,6.10%,12.50%,,192,56,29.20%,23.20%,36.00%,,,,,,,,,
E02000681,Lewisham 029,E09000023,Lewisham,324,29,9.00%,6.30%,12.60%,,261,73,28.00%,22.90%,33.70%,,,,,,,,,
E02000682,Lewisham 030,E09000023,Lewisham,366,54,14.80%,11.50%,18.80%,,376,91,24.20%,20.10%,28.80%,,,,,,,,,
E02000683,Lewisham 031,E09000023,Lewisham,253,34,13.40%,9.80%,18.20%,,213,52,24.40%,19.10%,30.60%,,,,,,,,,
E02000685,Lewisham 033,E09000023,Lewisham,299,34,11.40%,8.30%,15.50%,,255,71,27.80%,22.70%,33.60%,,,,,,,,,
E02000686,Lewisham 034,E09000023,Lewisham,340,50,14.70%,11.30%,18.90%,,236,67,28.40%,23.00%,34.50%,,,,,,,,,
E02000687,Lewisham 035,E09000023,Lewisham,277,27,9.70%,6.80%,13.80%,,196,53,27.00%,21.30%,33.70%,,,,,,,,,
E02006783,Lewisham 037,E09000023,Lewisham,377,53,14.10%,10.90%,17.90%,,332,102,30.70%,26.00%,35.90%,,,,,,,,,
E02006784,Lewisham 038,E09000023,Lewisham,302,30,9.90%,7.00%,13.80%,,263,57,21.70%,17.10%,27.00%,,,,,,,,,
E02006798,Lewisham 039,E09000023,Lewisham,331,57,17.20%,13.50%,21.70%,,227,62,27.30%,21.90%,33.50%,,,,,,,,,
E02000689,Merton 001,E09000024,Merton,292,12,4.10%,2.40%,7.00%,,143,15,10.50%,6.50%,16.60%,,,,,,,,,
E02000690,Merton 002,E09000024,Merton,40,s,s,s,s,,31,s,s,s,s,,,,,,,,,
E02000691,Merton 003,E09000024,Merton,173,11,6.40%,3.60%,11.00%,,119,17,14.30%,9.10%,21.70%,,,,,,,,,
E02000692,Merton 004,E09000024,Merton,98,s,s,s,s,,28,s,s,s,s,,,,,,,,,
E02000693,Merton 005,E09000024,Merton,244,19,7.80%,5.00%,11.80%,,121,16,13.20%,8.30%,20.40%,,,,,,,,,
E02000694,Merton 006,E09000024,Merton,328,21,6.40%,4.20%,9.60%,,147,28,19.00%,13.50%,26.20%,,,,,,,,,
E02000695,Merton 007,E09000024,Merton,279,31,11.10%,7.90%,15.30%,,214,56,26.20%,20.70%,32.40%,,,,,,,,,
E02000696,Merton 008,E09000024,Merton,308,36,11.70%,8.60%,15.80%,,221,54,24.40%,19.20%,30.50%,,,,,,,,,
E02000697,Merton 009,E09000024,Merton,224,s,s,s,s,,156,21,13.50%,9.00%,19.70%,,,,,,,,,
E02000698,Merton 010,E09000024,Merton,218,s,s,s,s,,125,11,8.80%,5.00%,15.10%,,,,,,,,,
E02000699,Merton 011,E09000024,Merton,260,s,s,s,s,,142,8,5.60%,2.90%,10.70%,,,,,,,,,
E02000700,Merton 012,E09000024,Merton,322,34,10.60%,7.70%,14.40%,,245,55,22.40%,17.70%,28.10%,,,,,,,,,
E02000701,Merton 013,E09000024,Merton,351,48,13.70%,10.50%,17.70%,,282,77,27.30%,22.40%,32.80%,,,,,,,,,
E02000702,Merton 014,E09000024,Merton,324,49,15.10%,11.60%,19.40%,,275,84,30.50%,25.40%,36.20%,,,,,,,,,
E02000703,Merton 015,E09000024,Merton,261,18,6.90%,4.40%,10.60%,,202,22,10.90%,7.30%,15.90%,,,,,,,,,
E02000704,Merton 016,E09000024,Merton,211,12,5.70%,3.30%,9.70%,,164,34,20.70%,15.20%,27.60%,,,,,,,,,
E02000705,Merton 017,E09000024,Merton,281,33,11.70%,8.50%,16.00%,,268,53,19.80%,15.40%,25.00%,,,,,,,,,
E02000706,Merton 018,E09000024,Merton,457,60,13.10%,10.30%,16.50%,,315,73,23.20%,18.90%,28.10%,,,,,,,,,
E02000707,Merton 019,E09000024,Merton,367,45,12.30%,9.30%,16.00%,,319,84,26.30%,21.80%,31.40%,,,,,,,,,
E02000708,Merton 020,E09000024,Merton,322,16,5.00%,3.10%,7.90%,,262,48,18.30%,14.10%,23.50%,,,,,,,,,
E02000709,Merton 021,E09000024,Merton,248,12,4.80%,2.80%,8.30%,,214,43,20.10%,15.30%,26.00%,,,,,,,,,
E02000710,Merton 022,E09000024,Merton,354,45,12.70%,9.60%,16.60%,,251,65,25.90%,20.90%,31.70%,,,,,,,,,
E02000711,Merton 023,E09000024,Merton,337,36,10.70%,7.80%,14.40%,,285,67,23.50%,19.00%,28.80%,,,,,,,,,
E02000712,Merton 024,E09000024,Merton,320,37,11.60%,8.50%,15.50%,,326,70,21.50%,17.40%,26.20%,,,,,,,,,
E02000713,Merton 025,E09000024,Merton,264,27,10.20%,7.10%,14.50%,,231,43,18.60%,14.10%,24.10%,,,,,,,,,
E02000714,Newham 001,E09000025,Newham,341,57,16.70%,13.10%,21.00%,,269,63,23.40%,18.80%,28.80%,,,,,,,,,
E02000715,Newham 002,E09000025,Newham,366,45,12.30%,9.30%,16.10%,,300,80,26.70%,22.00%,31.90%,,,,,,,,,
E02000716,Newham 003,E09000025,Newham,346,39,11.30%,8.40%,15.00%,,242,60,24.80%,19.80%,30.60%,,,,,,,,,
E02000717,Newham 004,E09000025,Newham,394,57,14.50%,11.30%,18.30%,,360,93,25.80%,21.60%,30.60%,,,,,,,,,
E02000718,Newham 005,E09000025,Newham,392,46,11.70%,8.90%,15.30%,,340,93,27.40%,22.90%,32.30%,,,,,,,,,
E02000719,Newham 006,E09000025,Newham,271,42,15.50%,11.70%,20.30%,,206,58,28.20%,22.50%,34.70%,,,,,,,,,
E02000720,Newham 007,E09000025,Newham,280,29,10.40%,7.30%,14.50%,,201,55,27.40%,21.70%,33.90%,,,,,,,,,
E02000721,Newham 008,E09000025,Newham,394,53,13.50%,10.40%,17.20%,,352,86,24.40%,20.20%,29.20%,,,,,,,,,
E02000722,Newham 009,E09000025,Newham,256,28,10.90%,7.70%,15.40%,,187,54,28.90%,22.90%,35.70%,,,,,,,,,
E02000723,Newham 010,E09000025,Newham,419,45,10.70%,8.10%,14.10%,,349,88,25.20%,20.90%,30.00%,,,,,,,,,
E02000724,Newham 011,E09000025,Newham,438,39,8.90%,6.60%,11.90%,,368,90,24.50%,20.30%,29.10%,,,,,,,,,
E02000725,Newham 012,E09000025,Newham,230,15,6.50%,4.00%,10.50%,,187,41,21.90%,16.60%,28.40%,,,,,,,,,
E02000726,Newham 013,E09000025,Newham,300,45,15.00%,11.40%,19.50%,,286,68,23.80%,19.20%,29.00%,,,,,,,,,
E02000727,Newham 014,E09000025,Newham,331,30,9.10%,6.40%,12.60%,,259,69,26.60%,21.60%,32.30%,,,,,,,,,
E02000728,Newham 015,E09000025,Newham,375,43,11.50%,8.60%,15.10%,,293,70,23.90%,19.40%,29.10%,,,,,,,,,
E02000729,Newham 016,E09000025,Newham,279,34,12.20%,8.90%,16.50%,,214,39,18.20%,13.60%,23.90%,,,,,,,,,
E02000730,Newham 017,E09000025,Newham,390,46,11.80%,9.00%,15.40%,,252,47,18.70%,14.30%,23.90%,,,,,,,,,
E02000731,Newham 018,E09000025,Newham,393,54,13.70%,10.70%,17.50%,,344,88,25.60%,21.30%,30.40%,,,,,,,,,
E02000732,Newham 019,E09000025,Newham,337,40,11.90%,8.80%,15.80%,,305,81,26.60%,21.90%,31.80%,,,,,,,,,
E02000733,Newham 020,E09000025,Newham,356,44,12.40%,9.30%,16.20%,,344,100,29.10%,24.50%,34.10%,,,,,,,,,
E02000734,Newham 021,E09000025,Newham,318,51,16.00%,12.40%,20.50%,,266,67,25.20%,20.30%,30.70%,,,,,,,,,
E02000735,Newham 022,E09000025,Newham,329,39,11.90%,8.80%,15.80%,,241,53,22.00%,17.20%,27.60%,,,,,,,,,
E02000736,Newham 023,E09000025,Newham,432,32,7.40%,5.30%,10.30%,,394,102,25.90%,21.80%,30.40%,,,,,,,,,
E02000737,Newham 024,E09000025,Newham,506,64,12.60%,10.00%,15.80%,,425,109,25.60%,21.70%,30.00%,,,,,,,,,
E02000738,Newham 025,E09000025,Newham,423,51,12.10%,9.30%,15.50%,,366,108,29.50%,25.10%,34.40%,,,,,,,,,
E02000739,Newham 026,E09000025,Newham,297,43,14.50%,10.90%,18.90%,,229,67,29.30%,23.70%,35.50%,,,,,,,,,
E02000740,Newham 027,E09000025,Newham,287,29,10.10%,7.10%,14.10%,,245,69,28.20%,22.90%,34.10%,,,,,,,,,
E02000741,Newham 028,E09000025,Newham,401,61,15.20%,12.00%,19.10%,,282,76,27.00%,22.10%,32.40%,,,,,,,,,
E02000742,Newham 029,E09000025,Newham,439,54,12.30%,9.60%,15.70%,,347,94,27.10%,22.70%,32.00%,,,,,,,,,
E02000743,Newham 030,E09000025,Newham,384,64,16.70%,13.30%,20.70%,,307,97,31.60%,26.70%,37.00%,,,,,,,,,
E02000744,Newham 031,E09000025,Newham,408,62,15.20%,12.00%,19.00%,,292,89,30.50%,25.50%,36.00%,,,,,,,,,
E02000745,Newham 032,E09000025,Newham,373,48,12.90%,9.80%,16.60%,,298,70,23.50%,19.00%,28.60%,,,,,,,,,
E02000746,Newham 033,E09000025,Newham,295,38,12.90%,9.50%,17.20%,,223,50,22.40%,17.40%,28.30%,,,,,,,,,
E02000747,Newham 034,E09000025,Newham,314,48,15.30%,11.70%,19.70%,,331,83,25.10%,20.70%,30.00%,,,,,,,,,
E02000748,Newham 035,E09000025,Newham,310,39,12.60%,9.30%,16.70%,,191,39,20.40%,15.30%,26.70%,,,,,,,,,
E02000749,Newham 036,E09000025,Newham,401,52,13.00%,10.00%,16.60%,,337,97,28.80%,24.20%,33.80%,,,,,,,,,
E02000750,Newham 037,E09000025,Newham,427,53,12.40%,9.60%,15.90%,,303,95,31.40%,26.40%,36.80%,,,,,,,,,
E02000751,Redbridge 001,E09000026,Redbridge,226,17,7.50%,4.70%,11.70%,,203,25,12.30%,8.50%,17.50%,,,,,,,,,
E02000752,Redbridge 002,E09000026,Redbridge,293,36,12.30%,9.00%,16.50%,,271,81,29.90%,24.80%,35.60%,,,,,,,,,
E02000753,Redbridge 003,E09000026,Redbridge,272,19,7.00%,4.50%,10.70%,,241,53,22.00%,17.20%,27.60%,,,,,,,,,
E02000754,Redbridge 004,E09000026,Redbridge,221,19,8.60%,5.60%,13.00%,,220,36,16.40%,12.10%,21.80%,,,,,,,,,
E02000755,Redbridge 005,E09000026,Redbridge,165,18,10.90%,7.00%,16.60%,,149,30,20.10%,14.50%,27.30%,,,,,,,,,
E02000756,Redbridge 006,E09000026,Redbridge,451,51,11.30%,8.70%,14.60%,,408,108,26.50%,22.40%,31.00%,,,,,,,,,
E02000757,Redbridge 007,E09000026,Redbridge,381,30,7.90%,5.60%,11.00%,,282,44,15.60%,11.80%,20.30%,,,,,,,,,
E02000758,Redbridge 008,E09000026,Redbridge,207,21,10.10%,6.70%,15.00%,,224,61,27.20%,21.80%,33.40%,,,,,,,,,
E02000759,Redbridge 009,E09000026,Redbridge,526,47,8.90%,6.80%,11.70%,,437,93,21.30%,17.70%,25.40%,,,,,,,,,
E02000760,Redbridge 010,E09000026,Redbridge,283,27,9.50%,6.60%,13.50%,,290,74,25.50%,20.80%,30.80%,,,,,,,,,
E02000762,Redbridge 012,E09000026,Redbridge,179,14,7.80%,4.70%,12.70%,,200,51,25.50%,20.00%,32.00%,,,,,,,,,
E02000763,Redbridge 013,E09000026,Redbridge,280,36,12.90%,9.40%,17.30%,,273,58,21.20%,16.80%,26.50%,,,,,,,,,
E02000764,Redbridge 014,E09000026,Redbridge,288,16,5.60%,3.40%,8.80%,,203,28,13.80%,9.70%,19.20%,,,,,,,,,
E02000765,Redbridge 015,E09000026,Redbridge,215,16,7.40%,4.60%,11.70%,,223,40,17.90%,13.50%,23.50%,,,,,,,,,
E02000767,Redbridge 017,E09000026,Redbridge,287,29,10.10%,7.10%,14.10%,,259,56,21.60%,17.00%,27.00%,,,,,,,,,
E02000768,Redbridge 018,E09000026,Redbridge,202,23,11.40%,7.70%,16.50%,,124,28,22.60%,16.10%,30.70%,,,,,,,,,
E02000769,Redbridge 019,E09000026,Redbridge,715,97,13.60%,11.30%,16.30%,,555,152,27.40%,23.80%,31.20%,,,,,,,,,
E02000770,Redbridge 020,E09000026,Redbridge,315,38,12.10%,8.90%,16.10%,,367,72,19.60%,15.90%,24.00%,,,,,,,,,
E02000772,Redbridge 022,E09000026,Redbridge,337,35,10.40%,7.60%,14.10%,,328,83,25.30%,20.90%,30.30%,,,,,,,,,
E02000773,Redbridge 023,E09000026,Redbridge,397,68,17.10%,13.70%,21.10%,,433,107,24.70%,20.90%,29.00%,,,,,,,,,
E02000774,Redbridge 024,E09000026,Redbridge,318,23,7.20%,4.90%,10.60%,,300,81,27.00%,22.30%,32.30%,,,,,,,,,
E02000776,Redbridge 026,E09000026,Redbridge,309,28,9.10%,6.30%,12.80%,,236,55,23.30%,18.40%,29.10%,,,,,,,,,
